,freq,fake,reliable,idf_weight,fakeness_score
can,"(1842, 5853)","(12.768666382103625, 5897.028509920499)","(13.419430272108842, 5022.91249216856)",0.9979889758586605,-0.08679393008338998
would,"(1650, 5586)","(11.323848876489373, 5611.654451672561)","(14.08375850340136, 5102.326128408379)",1.1079961799784508,-0.049869980313595685
if,"(1814, 5414)","(12.592648005785138, 5477.9182693940065)","(12.887967687074829, 4208.922720710414)",1.0132973498163054,-0.14961894767879091
peopl,"(1644, 5303)","(11.221171490303588, 5251.514496245273)","(15.146683673469386, 6273.677262945711)",1.1116367397908629,0.09701466750350862
what,"(1869, 5285)","(12.930016560395572, 5228.347598527728)","(14.08375850340136, 6353.09089918553)",0.9834460070615632,0.10714911870236388
were,"(1694, 5281)","(11.617212837020185, 5255.726659466645)","(14.615221088435373, 5757.488627386887)",1.081696176291797,0.047698562051974314
been,"(1943, 5058)","(13.392064798231603, 5064.073232894229)","(15.545280612244897, 4943.49885592874)",0.9446387673896433,-0.01219464223605049
our,"(1504, 4961)","(10.275072717591717, 4797.653909142464)","(13.685161564625849, 8040.630669281687)",1.2005785712579204,0.32566860381117557
out,"(2046, 4911)","(14.242820283770959, 4935.602254642389)","(13.818027210884352, 4447.163629429871)",0.8930137549696617,-0.054860609622469414
so,"(1651, 4613)","(11.301846579449562, 4590.2048704899025)","(14.615221088435373, 5042.765901228515)",1.107390706479692,0.049256493433599724
when,"(1724, 4523)","(11.793231213338673, 4451.203484184634)","(15.412414965986393, 5876.609081746616)",1.064152892616539,0.1587602470709939
up,"(1742, 4429)","(12.042590579789865, 4480.688626734236)","(13.286564625850339, 3454.493176432132)",1.0537727751954178,-0.14744783005016315
bitcoin,"(3223, 4362)","(23.637801119770238, 4593.363992905932)","(0.0, 0.0)",0.4387840709010202,-1.0
there,"(1606, 4302)","(11.089157708064722, 4246.913567948102)","(12.489370748299319, 5340.567037127837)",1.135006599861213,0.12805175451846407
no,"(1666, 4291)","(11.455862658728238, 4301.671689825936)","(13.818027210884352, 4089.802266350685)",1.0983523224622522,-0.025896368550614723
also,"(1753, 4142)","(12.049924678803134, 4137.397324192436)","(14.615221088435373, 4228.776129770368)",1.047482007566503,0.01104258113206913
new,"(1598, 4059)","(11.067155411024912, 4037.358447684856)","(11.825042517006802, 4467.017038489826)",1.139996941450841,0.053160197634534834
had,"(1346, 3922)","(9.094282776455195, 3859.394551581898)","(14.08375850340136, 5102.326128408379)",1.3114837787117153,0.15964925507250483
than,"(1608, 3919)","(11.103825906091263, 3951.0091016467345)","(12.489370748299319, 3315.5193130124485)",1.133762895951133,-0.09554330777710762
other,"(1672, 3869)","(11.624546936033456, 3908.8874694330166)","(11.559311224489795, 3116.985222412901)",1.0947597193526197,-0.12635125830148053
into,"(1607, 3815)","(11.316514777476103, 3896.2509797689013)","(8.503401360544217, 2283.1420418948)",1.1343845545562585,-0.3392680421093689
just,"(1663, 3768)","(11.543871846887482, 3790.946899234607)","(11.825042517006802, 3335.372722072403)",1.1001534756869389,-0.06818836306842158
do,"(1496, 3767)","(10.13572483633958, 3670.9002474255108)","(15.146683673469386, 5578.807945847294)",1.2059080089604466,0.2541731712616919
stock,"(3224, 3707)","(23.64513521878351, 3903.622265406302)","(0.0, 0.0)",0.438473954915157,-1.0
these,"(1484, 3671)","(10.34107960871115, 3684.5897778949693)","(9.83205782312925, 3414.7863583122225)",1.213955802379338,-0.039484629764126145
some,"(1596, 3660)","(11.125828203131073, 3701.438430780456)","(10.496386054421768, 2878.7443136934435)",1.1412484277539738,-0.14192650687126396
time,"(1585, 3625)","(10.971812123852397, 3666.688084204139)","(11.825042517006802, 2839.0374955735338)",1.1481597395067233,-0.14473890575162163
like,"(1519, 3605)","(10.443756994896935, 3599.2934726621907)","(12.622236394557822, 3712.5874942115443)",1.1906617902662637,0.01573707022884041
said,"(1311, 3590)","(8.639568637632436, 3329.715026494396)","(17.67113095238095, 8497.259077660647)",1.3378090053045675,0.6503897655352011
two,"(2240, 3590)","(15.958999452876213, 3680.3776146735972)","(8.503401360544217, 1886.0738606957043)",0.8024710956746948,-0.44277049745937647
them,"(1351, 3441)","(9.19696016264098, 3415.011331727175)","(12.887967687074829, 3930.974993871047)",1.3077789730515252,0.07540010033152922
my,"(1177, 3418)","(8.082177112623892, 3362.3592914600276)","(9.964923469387754, 4467.017038489826)",1.4455349411641638,0.16280648347974513
onli,"(1542, 3304)","(10.612441272202151, 3308.654210387537)","(12.622236394557822, 3216.2522677126744)",1.1756445323390783,-0.01436385890023295
over,"(1564, 3279)","(10.847132440626801, 3310.7602919982232)","(11.293579931972788, 2680.2102230938954)",1.1614881927197809,-0.11709114586004854
search,"(3222, 3262)","(23.623132921743696, 3433.9660662233478)","(0.1328656462585034, 19.85340905995478)",0.4390942830886425,-1.0
exceed,"(3224, 3251)","(23.637801119770238, 3422.3826173645757)","(0.1328656462585034, 19.85340905995478)",0.438473954915157,-1.0
how,"(1450, 3249)","(10.018379252127255, 3256.00217012039)","(11.160714285714285, 3116.985222412901)",1.2371160229191902,-0.022296209102126707
now,"(1529, 3245)","(10.693116361348125, 3289.6994758913643)","(9.43346088435374, 2402.2624962545287)",1.1841048196884698,-0.18263627060180543
becaus,"(1421, 3176)","(9.805690380742417, 3161.228497639525)","(11.160714285714285, 3454.493176432132)",1.2573032600375869,0.046351368954968386
first,"(1687, 3111)","(11.71989022320597, 3138.06159992198)","(11.825042517006802, 2600.7965868540764)",1.0858342763088944,-0.10292279791546022
could,"(1342, 3088)","(9.314305746853305, 3122.265987841836)","(9.566326530612244, 2441.969314374438)",1.314457537501208,-0.13839869845382446
after,"(1390, 3037)","(9.490324123171792, 3006.4314992541117)","(12.755102040816325, 3613.32044891177)",1.2793431113507125,0.1005904300799012
even,"(1364, 3035)","(9.40231493501255, 3060.136580326602)","(10.894982993197278, 2561.0897687341667)",1.2982102264073054,-0.09712149700458494
world,"(1156, 3029)","(8.06017481558408, 3066.45482515866)","(7.573341836734693, 2322.8488600147093)",1.4635210375339456,-0.15871026444196323
think,"(2020, 2998)","(14.426172759102718, 3047.5000906624864)","(7.04187925170068, 2064.7545422352973)",0.9057959947815136,-0.23358800909275368
most,"(1424, 2963)","(9.923035964954742, 3003.272376838083)","(9.43346088435374, 2203.7284056549806)",1.255195925737071,-0.17944300560494364
ani,"(1359, 2944)","(9.519660519224875, 2990.6358871739676)","(8.104804421768707, 2064.7545422352973)",1.3018796859775297,-0.220527965970017
mani,"(1383, 2924)","(9.438985430078901, 2882.172684223644)","(12.755102040816325, 3712.5874942115443)",1.2843878035135812,0.14307217779785475
fact,"(2035, 2807)","(14.668198026540638, 2907.4456635518745)","(4.650297619047619, 913.25681675792)",0.8984016990384152,-0.7975344273012196
those,"(1243, 2696)","(8.434213865260867, 2639.9732989947665)","(12.356505102040815, 3752.2943123314535)",1.391025535495792,0.20760674403819634
may,"(1207, 2595)","(8.434213865260867, 2642.079380605452)","(7.573341836734693, 1707.3931791561113)",1.4203890348907193,-0.26708041511860703
be,"(1262, 2479)","(8.632234538619166, 2457.7972396704367)","(11.293579931972788, 2878.7443136934435)",1.3758688956363079,0.08542631008436907
market,"(594, 2463)","(4.327118417829488, 2588.374299532962)","(0.5314625850340136, 99.26704529977391)",2.128463732765431,-0.9999999999742275
then,"(1173, 2420)","(8.162852201769866, 2450.425954033036)","(7.971938775510203, 1846.3670425757946)",1.4489360157800715,-0.16213678970264012
presid,"(898, 2345)","(6.160643171147068, 2262.9846906819917)","(7.706207482993197, 3891.2681757511373)",1.7157989284255102,0.34500665516584794
such,"(1192, 2319)","(8.192188597822947, 2327.2201798079113)","(9.964923469387754, 2164.0215875350714)",1.432882950534483,-0.03768938580390524
against,"(1020, 2293)","(7.004064557673154, 2288.2576700102222)","(8.63626700680272, 2382.4090871945737)",1.588557434854745,0.020569828710942373
year,"(1061, 2290)","(7.35610131031013, 2320.9019349758537)","(7.706207482993197, 1707.3931791561113)",1.5491898320887436,-0.1777539669660797
veri,"(1066, 2262)","(7.378103607349941, 2288.2576700102222)","(7.971938775510203, 1766.9534063359756)",1.5444932237937183,-0.14645422371551553
stori,"(1736, 2237)","(12.511972916639165, 2284.0455067888506)","(3.9859693877551017, 1350.0318160769252)",1.0572208563083598,-0.33275476680895244
make,"(1211, 2226)","(8.456216162300677, 2240.87083376979)","(7.706207482993197, 1945.6340878755686)",1.4170835199397713,-0.07572635035872255
should,"(1104, 2223)","(7.598126577748051, 2193.483997529357)","(9.03486394557823, 2779.4772683936694)",1.509502083821501,0.13278710196252885
see,"(1097, 2195)","(7.649465270840943, 2204.014405582787)","(7.174744897959183, 2025.0477241153878)",1.51585649881257,-0.044159524401382155
while,"(1168, 2158)","(8.06750891459735, 2159.786691758383)","(9.03486394557823, 2124.3147694151617)",1.4532036904034642,-0.008348832920619276
me,"(908, 2150)","(6.131306775093987, 2091.3390394110916)","(9.566326530612244, 3255.959085832584)",1.7047380922884248,0.27145957979567825
her,"(563, 2078)","(3.6230449125555375, 1770.1615937814927)","(9.167729591836734, 7881.803396802048)",2.181961650670307,0.9386165584386803
last,"(1109, 2047)","(7.568790181694969, 2034.4748359225723)","(10.230654761904761, 2283.1420418948)",1.504987811077636,0.061037395422713914
much,"(1087, 2037)","(7.605460676761321, 2074.490386525604)","(6.6432823129251695, 1330.1784070169704)",1.525004856459271,-0.27270053131763283
know,"(995, 2035)","(6.828046181354667, 1999.724489346255)","(8.503401360544217, 2700.0636321538504)",1.6133455372651175,0.173340795356544
dont,"(981, 1994)","(6.769373389248504, 1968.1332651859666)","(7.706207482993197, 2481.6761324943477)",1.627500055252509,0.12972924938295582
where,"(1063, 1960)","(7.3634354093234, 1958.6558979378801)","(7.8390731292517, 1985.3409059954781)",1.5473085409685516,0.006811966136271996
befor,"(1157, 1945)","(8.030838419531, 1955.4967755218513)","(8.23767006802721, 1747.0999972760208)",1.4626571812259057,-0.059570155979708495
state,"(853, 1903)","(5.874613309629526, 1892.3143272012744)","(6.909013605442176, 2104.461360355207)",1.767144908464136,0.055996276496470765
war,"(595, 1902)","(4.283113823749867, 1983.928877266111)","(1.4615221088435373, 357.36136307918605)",2.1267847531903565,-0.979119761871577
through,"(986, 1895)","(6.850048478394478, 1900.738653644018)","(6.909013605442176, 1786.8068153959302)",1.622421839992395,-0.031870611844157404
well,"(1062, 1861)","(7.451444597482644, 1887.0491231745598)","(6.111819727891156, 1369.8852251368799)",1.548248744121678,-0.1865513370350116
down,"(997, 1848)","(7.033400953726236, 1883.890000758531)","(5.048894557823129, 1171.3511345373322)",1.6113397197236965,-0.29510815010564084
him,"(713, 1802)","(4.693823368493004, 1686.9713701594)","(9.699192176870747, 3970.6818119909562)",1.946170182861173,0.5894788307330514
news,"(955, 1788)","(6.66669600306272, 1798.5936955257523)","(6.111819727891156, 1588.2727247963826)",1.654330681324837,-0.06611401410321227
sinc,"(982, 1769)","(6.776707488261775, 1784.904165056294)","(7.706207482993197, 1469.152270436654)",1.6264823470433587,-0.10704883296373358
add,"(1593, 1747)","(11.646549233073266, 1834.3970829074124)","(0.664328231292517, 99.26704529977391)",1.1431285987766366,-0.9999999487356074
back,"(989, 1741)","(6.820712082341397, 1743.835573647919)","(7.8390731292517, 1687.5397700961564)",1.6193872432877683,-0.016678298286469273
here,"(1036, 1734)","(7.14341243892529, 1741.7294920372333)","(8.23767006802721, 1588.2727247963826)",1.5730095558205488,-0.04827177899440216
use,"(831, 1724)","(5.837942814563174, 1774.3737570028645)","(4.650297619047619, 774.2829533382364)",1.7932405655098531,-0.5688475332894996
day,"(859, 1706)","(5.940620200748959, 1718.5625943196883)","(6.510416666666666, 1469.152270436654)",1.7601445298588034,-0.08467912006371603
she,"(519, 1658)","(3.293010456958373, 1397.3851486900896)","(9.300595238095237, 6571.478398845033)",2.2631720906372106,0.9518727771239515
reader,"(1553, 1650)","(11.389855767608806, 1737.5173288158614)","(0.0, 0.0)",1.1685413124946713,-1.0
american,"(765, 1642)","(5.3172217846209815, 1670.122717273913)","(5.314625850340136, 1111.7909073574679)",1.8758804818934622,-0.24594835048838837
money,"(617, 1594)","(4.393125308948921, 1640.6375747243103)","(2.391581632653061, 714.7227261583721)",2.0905429347510096,-0.5701493460700671
north,"(419, 1591)","(2.9629760013612088, 1645.9027787510252)","(1.9929846938775508, 555.8954536787339)",2.476700413240901,-0.7532419354602276
unit,"(729, 1588)","(5.001855527050358, 1582.7203304304483)","(6.244685374149659, 1687.5397700961564)",1.9240116803541973,0.03310159803765855
own,"(870, 1578)","(6.079968082001095, 1584.8264120411343)","(5.447491496598639, 1449.298861376699)",1.747436410591391,-0.04672220462162058
everi,"(870, 1566)","(6.021295289894932, 1556.3943102968747)","(6.510416666666666, 1747.0999972760208)",1.747436410591391,0.061188685738141846
great,"(761, 1519)","(5.2952194875811704, 1539.5456574113875)","(5.181760204081632, 1131.6443164174225)",1.8811154107441657,-0.1782987869509579
dure,"(854, 1515)","(5.7866041214702815, 1492.158821170955)","(8.63626700680272, 1945.6340878755686)",1.7659747702543278,0.15079393814367292
between,"(845, 1515)","(5.859945111602985, 1519.5378821098716)","(6.111819727891156, 1429.4454523167442)",1.776555635485782,-0.0315026427502183
did,"(816, 1514)","(5.559247052058902, 1494.2649027816408)","(7.706207482993197, 1886.0738606957043)",1.8114317050255757,0.13035822434735156
made,"(927, 1511)","(6.343995646478826, 1503.7422700297273)","(8.23767006802721, 1647.832951976247)",1.6840537058148903,0.04787407246889819
whi,"(871, 1509)","(5.97729069581531, 1511.113555667128)","(7.44047619047619, 1469.152270436654)",1.7462890951832974,-0.014279810802873882
same,"(851, 1505)","(5.837942814563174, 1499.5301068083556)","(7.307610544217686, 1608.1261338563372)",1.7694893005823271,0.03619420143043084
life,"(694, 1505)","(4.5471413882275975, 1301.5584354038817)","(9.83205782312925, 5340.567037127837)",1.973137471309797,0.9140498859778463
under,"(826, 1496)","(5.823274616536633, 1525.8561269419292)","(4.2517006802721085, 933.1102258178747)",1.7992675847183768,-0.3073518554169724
tax,"(312, 1493)","(2.2369001990474473, 1564.8186367396181)","(0.9300595238095237, 138.97386341968348)",2.7706705630838773,-0.9999299774398408
inform,"(828, 1486)","(5.896615606669337, 1536.3865349953587)","(3.1887755102040813, 536.0420446187791)",1.7968524162940644,-0.7320285116987655
centsheadlin,"(1444, 1444)","(10.590438975162341, 1520.5909229152144)","(0.0, 0.0)",1.2412593891119528,-1.0
still,"(829, 1435)","(5.720597230350849, 1431.0824544610641)","(6.510416666666666, 1508.8590885565634)",1.7956470159552476,0.02716737086723664
public,"(730, 1423)","(5.111867012249412, 1439.5067809038076)","(4.384566326530612, 1111.7909073574679)",1.922642942116967,-0.14632404676795974
both,"(830, 1410)","(5.76460182443047, 1414.233801575577)","(5.846088435374149, 1330.1784070169704)",1.7944430668572569,-0.03158502463609891
go,"(842, 1396)","(5.76460182443047, 1380.5364958046025)","(7.44047619047619, 1687.5397700961564)",1.7801076164876075,0.11073387834100146
end,"(818, 1392)","(5.742599527390659, 1410.0216383542052)","(4.650297619047619, 1052.2306801776035)",1.808987014894681,-0.16839606378736305
anoth,"(874, 1388)","(6.101970379040905, 1406.8625159381763)","(5.580357142857142, 1032.3772711176487)",1.742855025874452,-0.17940743163336192
nuclear,"(274, 1384)","(1.980206733582986, 1447.9311073465512)","(0.5314625850340136, 178.68068153959302)",2.9000585234857086,-0.9983568351519393
power,"(623, 1383)","(4.400459407962192, 1419.4990056022916)","(3.055909863945578, 694.8693170984174)",2.0808825794762402,-0.4787908857005736
say,"(905, 1382)","(6.19731366621342, 1356.316557281715)","(7.971938775510203, 1866.2204516357494)",1.7080435161882226,0.1857906640070639
thing,"(746, 1369)","(5.133869309289223, 1362.6348021137726)","(6.111819727891156, 1489.0056794966085)",1.900994146434482,0.04633684006580974
off,"(861, 1367)","(6.028629388908202, 1392.119944663375)","(5.181760204081632, 893.4034076979651)",1.757821918200358,-0.27208162487893106
around,"(854, 1355)","(5.955288398775499, 1360.5287205030866)","(5.580357142857142, 1250.7647707771512)",1.7659747702543278,-0.04385059527964963
global,"(551, 1354)","(3.953079368152702, 1403.7033935221475)","(1.5943877551020407, 416.9215902590504)",2.2034640021262386,-0.8285251311312565
polit,"(611, 1347)","(4.283113823749867, 1366.8469653351442)","(3.5873724489795915, 972.8170439377843)",2.100297523559213,-0.19979599170345186
doe,"(807, 1342)","(5.559247052058902, 1317.3540474840258)","(6.510416666666666, 1806.660224455885)",1.8225073781768355,0.1836094431330515
god,"(301, 1332)","(1.6868427730521733, 1056.199927758975)","(9.43346088435374, 6531.771580725123)",2.806435103023611,0.9888538419500388
system,"(564, 1315)","(4.048422655325216, 1363.6878429191154)","(1.5943877551020407, 397.06818119909565)",2.18019048478044,-0.8388251211407014
part,"(824, 1298)","(5.647256240218145, 1289.9749865451092)","(7.174744897959183, 1449.298861376699)",1.80168860030594,0.06167625364501461
high,"(663, 1284)","(4.657152873426653, 1304.7175578199106)","(3.720238095238095, 893.4034076979651)",2.0187604508695696,-0.22621346424354616
long,"(817, 1275)","(5.757267725417201, 1297.34627218251)","(4.2517006802721085, 853.6965895780556)",1.8102086128965849,-0.2541462231778838
post,"(982, 1274)","(6.5566845178636655, 1214.156048560417)","(11.692176870748298, 2402.2624962545287)",1.6264823470433587,0.4536388726314353
econom,"(555, 1273)","(3.997083962232324, 1329.9905371481411)","(1.328656462585034, 198.53409059954782)",2.1962450572227192,-0.993324092117545
law,"(648, 1272)","(4.510470893161246, 1266.8080888275645)","(4.384566326530612, 1369.8852251368799)",2.0416064033768144,0.04066136959744804
gold,"(280, 1254)","(2.0022090306227973, 1311.0358026519682)","(0.9300595238095237, 178.68068153959302)",2.878482713503751,-0.9964681438135997
fbi,"(260, 1251)","(1.906865743450283, 1317.3540474840258)","(0.0, 0.0)",2.9522897157111543,-1.0
accord,"(800, 1248)","(5.449235566859847, 1231.0047014459042)","(7.573341836734693, 1568.4193157364277)",1.8312074081951664,0.1361968369387272
never,"(743, 1214)","(5.05319422014325, 1170.9813755413563)","(7.174744897959183, 2025.0477241153878)",1.9050177570130218,0.3493293913195148
countri,"(648, 1199)","(4.488468596121435, 1195.2013140642441)","(4.783163265306122, 1270.618179837106)",2.0416064033768144,0.031539394949481325
without,"(773, 1196)","(5.397896873766955, 1209.9438853390452)","(4.916028911564625, 933.1102258178747)",1.8654921272055696,-0.14726065361173823
must,"(662, 1194)","(4.60581418033376, 1190.9891508428723)","(4.517431972789115, 1250.7647707771512)",2.0202673830414155,0.02508968071877815
militari,"(423, 1180)","(3.0509851895204525, 1228.8986198352184)","(0.9300595238095237, 258.09431777941217)",2.4672239149356923,-0.9545557671535669
media,"(598, 1178)","(4.099761348418109, 1161.5040082932699)","(5.181760204081632, 1489.0056794966085)",2.121764662326358,0.14005504537635738
free,"(665, 1173)","(4.6864892694797335, 1192.0421916482153)","(3.454506802721088, 813.989771458146)",2.015753381997104,-0.22813562824990663
too,"(736, 1167)","(5.016523725076898, 1155.185763461212)","(6.909013605442176, 1389.7386341968347)",1.9144696232209941,0.10117435988212331
hous,"(568, 1166)","(3.9384111701261615, 1168.8752939306703)","(4.118835034013605, 1111.7909073574679)",2.173137025807159,-0.02566662882434234
few,"(717, 1154)","(5.075196517183061, 1184.6709060108146)","(3.3216411564625847, 575.7488627386887)",1.9405843562999656,-0.4844699468750506
feder,"(466, 1148)","(3.307678654984914, 1180.4587427894428)","(1.9929846938775508, 536.0420446187791)",2.370649823908175,-0.5378231899629704
real,"(654, 1146)","(4.657152873426653, 1175.1935387627282)","(2.5244472789115644, 595.6022717986434)",2.032405295678407,-0.451481073377736
someth,"(707, 1144)","(4.965185031984006, 1152.0266410451832)","(3.9859693877551017, 992.6704529977391)",1.9546078647585092,-0.08009447614864162
million,"(496, 1133)","(3.4763629322901313, 1159.3979266825838)","(2.9230442176870746, 635.309089918553)",2.3084019783156107,-0.3905658851357672
might,"(662, 1122)","(4.627816477373571, 1130.9658249383244)","(4.118835034013605, 952.9636348778295)",2.0202673830414155,-0.09312341259360535
percent,"(380, 1112)","(2.5596005556313415, 1061.46513178569)","(4.118835034013605, 2064.7545422352973)",2.574131383536423,0.44029484875350766
realli,"(660, 1098)","(4.5251390911877865, 1070.9424990337764)","(5.713222789115646, 1608.1261338563372)",2.023288077076705,0.24567003427992407
next,"(712, 1087)","(5.023857824090168, 1112.0110904421513)","(3.5873724489795915, 615.4556808585983)",1.9475715283819794,-0.3828583675442775
2017,"(618, 1082)","(4.349120714869299, 1107.7989272207794)","(3.3216411564625847, 595.6022717986434)",2.088926380891051,-0.40530636629290007
clinton,"(290, 1069)","(2.0975523177953113, 1118.329335274209)","(0.5314625850340136, 138.97386341968348)",2.84352634066466,-0.9982615655479569
today,"(661, 1061)","(4.5691436852674086, 1054.0938461482892)","(5.048894557823129, 1191.2045435972868)",2.021776589485437,0.064945690375104
obama,"(334, 1044)","(2.3982503773393944, 1089.8972335299495)","(0.9300595238095237, 178.68068153959302)",2.7027641966729727,-0.9878766936387421
howev,"(689, 1039)","(4.752496160599167, 1036.192152457459)","(5.447491496598639, 1091.937498297513)",1.9803566767896812,0.02689264944695391
far,"(686, 1038)","(4.82583715073187, 1060.4120909803469)","(3.720238095238095, 615.4556808585983)",1.984713349379207,-0.3465216892234865
becom,"(660, 1034)","(4.59848008132049, 1037.245193262802)","(4.384566326530612, 972.8170439377843)",2.023288077076705,-0.03310211846071742
help,"(665, 1034)","(4.473800398094895, 1005.6539691025138)","(7.307610544217686, 1568.4193157364277)",2.015753381997104,0.27272060353025984
video,"(684, 1025)","(4.8185030517186, 1028.8208668200587)","(3.5873724489795915, 952.9636348778295)",1.987628378407384,-0.03977969331705866
histori,"(635, 1024)","(4.466466299081624, 1029.8739076254014)","(3.454506802721088, 913.25681675792)",2.061837407731479,-0.06376020782592873
order,"(593, 1021)","(4.180436437564082, 1044.6164789002028)","(3.055909863945578, 575.7488627386887)",2.1301455360545414,-0.3860762004270777
place,"(657, 1021)","(4.517804992174517, 1018.2904587666291)","(5.447491496598639, 1072.0840892375581)",2.027836295954164,0.02640755552167051
financi,"(455, 1006)","(3.300344555971644, 1050.9347237322604)","(0.664328231292517, 158.82727247963825)",2.394481107698583,-0.9927541240228234
major,"(632, 1006)","(4.495802695134706, 1035.1391116521163)","(2.5244472789115644, 456.62840837896)",2.0665648038661564,-0.5604293727184072
find,"(646, 998)","(4.437129903028543, 991.9644386330555)","(5.447491496598639, 1111.7909073574679)",2.044692349353017,0.06032523338846785
each,"(598, 988)","(4.114429546444649, 987.7522754116836)","(4.916028911564625, 992.6704529977391)",2.121764662326358,0.002489575345730355
told,"(627, 982)","(4.0557567543384865, 901.4029293735621)","(9.83205782312925, 2501.5295415543023)",2.0744938019559025,0.7101942413302258
